Number,Serie,Test,H1/3 deep,Hmo deep,T1/3 deep,Tp deep,"Tm0,2 deep","Tm-1,0 deep",Lp deep,shallow 1 deep 3,beta,H1/3 toe,Hmo toe,T1/3 toe,Tp toe,"Tm0,2 toe","Tm-1,0 toe",Lp toe,shallow 1 deep 3,H1/3 trans,Hmo trans,Hmo trans at Lp toe,Kt,kr,hdeep,h,ht,hb,hc,Rc,Ac,m,toe1 or berm2,Wb,Wh,Wt,Dn50 A,tA,Dn50 F,tF,Dn50 C,tC,p,P,Gc,B,cot_ d f,cot_ incl f,cot_ excl f,cot_ u f,cot_ u b,_f,"s-1,0",Hm0/Dn50,Rc/Hmo,B/Hmo,
13,Seelig (1980),bw 1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.113,3.162,3.320,2.635,3.018,7.755,1,0.000,0.004,0.004,0.039,0.000,0.000,0.600,0.600,0.000,0.750,0.150,0.150,15.000,2,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.100,0.300,0.300,1.500,1.500,1.500,1.500,1.500,1.000,0.008,0.000,1.327,2.655,
14,Seelig (1980),bw 4 rocks,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.121,2.019,2.120,1.683,1.927,4.151,1,0.000,0.014,0.014,0.113,0.000,0.000,0.450,0.450,0.000,0.660,0.210,0.210,15.000,2,0.000,0.000,0.000,0.111,0.200,0.000,0.000,0.029,0.460,0.261,0.500,0.400,0.400,1.500,1.500,1.500,1.500,2.600,0.400,0.021,1.090,1.736,3.306,
15,Seelig (1980),bw 4 rocks,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.124,1.619,1.700,1.349,1.545,3.195,1,0.000,0.014,0.014,0.109,0.000,0.000,0.450,0.450,0.000,0.660,0.210,0.210,15.000,2,0.000,0.000,0.000,0.111,0.200,0.000,0.000,0.029,0.460,0.261,0.500,0.400,0.400,1.500,1.500,1.500,1.500,2.600,0.400,0.033,1.117,1.694,3.226,
16,Seelig (1980),bw 4 rocks,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.124,1.238,1.300,1.032,1.182,2.244,1,0.000,0.009,0.009,0.071,0.000,0.000,0.450,0.450,0.000,0.660,0.210,0.210,15.000,2,0.000,0.000,0.000,0.111,0.200,0.000,0.000,0.029,0.460,0.261,0.500,0.400,0.400,1.500,1.500,1.500,1.500,2.600,0.400,0.057,1.117,1.694,3.226,
17,Seelig (1980),bw 4 rocks,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.133,2.019,2.120,1.683,1.927,5.075,1,0.000,0.072,0.072,0.543,0.000,0.000,0.740,0.740,0.000,0.660,-0.080,-0.080,15.000,2,0.000,0.000,0.000,0.111,0.200,0.000,0.000,0.029,0.460,0.261,0.500,0.400,0.400,1.500,1.500,1.500,1.500,2.600,0.400,0.023,1.198,-0.602,3.008,
18,Seelig (1980),bw 4 rocks,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.148,2.124,2.230,1.770,2.027,4.967,1,0.000,0.034,0.034,0.228,0.000,0.000,0.600,0.600,0.000,0.660,0.060,0.060,15.000,2,0.000,0.000,0.000,0.111,0.200,0.000,0.000,0.029,0.460,0.261,0.500,0.400,0.400,1.500,1.500,1.500,1.500,2.600,0.400,0.023,1.333,0.405,2.703,
19,Seelig (1980),bw 4 rocks,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.150,2.124,2.230,1.770,2.027,4.967,1,0.000,0.035,0.035,0.231,0.000,0.000,0.600,0.600,0.000,0.660,0.060,0.060,15.000,2,0.000,0.000,0.000,0.111,0.200,0.000,0.000,0.029,0.460,0.261,0.500,0.400,0.400,1.500,1.500,1.500,1.500,2.600,0.400,0.023,1.351,0.400,2.667,
20,Seelig (1980),bw 4 rocks,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.146,2.019,2.120,1.683,1.927,4.678,1,0.000,0.033,0.033,0.229,0.000,0.000,0.600,0.600,0.000,0.660,0.060,0.060,15.000,2,0.000,0.000,0.000,0.111,0.200,0.000,0.000,0.029,0.460,0.261,0.500,0.400,0.400,1.500,1.500,1.500,1.500,2.600,0.400,0.025,1.315,0.411,2.740,
21,Seelig (1980),bw 4 rocks,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.147,2.019,2.120,1.683,1.927,4.678,1,0.000,0.033,0.033,0.226,0.000,0.000,0.600,0.600,0.000,0.660,0.060,0.060,15.000,2,0.000,0.000,0.000,0.111,0.200,0.000,0.000,0.029,0.460,0.261,0.500,0.400,0.400,1.500,1.500,1.500,1.500,2.600,0.400,0.025,1.324,0.408,2.721,
22,Seelig (1980),bw 4 rocks,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.161,1.933,2.030,1.611,1.845,4.805,1,0.000,0.080,0.080,0.495,0.000,0.000,0.740,0.740,0.000,0.660,-0.080,-0.080,15.000,2,0.000,0.000,0.000,0.111,0.200,0.000,0.000,0.029,0.460,0.261,0.500,0.400,0.400,1.500,1.500,1.500,1.500,2.600,0.400,0.030,1.450,-0.497,2.484,
