Number,Serie,Test,H1/3 deep,Hmo deep,T1/3 deep,Tp deep,"Tm0,2 deep","Tm-1,0 deep",Lp deep,shallow 1 deep 3,beta,H1/3 toe,Hmo toe,T1/3 toe,Tp toe,"Tm0,2 toe","Tm-1,0 toe",Lp toe,shallow 1 deep 3,H1/3 trans,Hmo trans,Hmo trans at Lp toe,Kt,kr,hdeep,h,ht,hb,hc,Rc,Ac,m,toe1 or berm2,Wb,Wh,Wt,Dn50 A,tA,Dn50 F,tF,Dn50 C,tC,p,P,Gc,B,cot_ d f,cot_ incl f,cot_ excl f,cot_ u f,cot_ u b,_f,"s-1,0",Hm0/Dn50,Rc/Hmo,B/Hmo,
481,Powell&Allsop (1985),PoAl-8,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.154,0.149,1.771,1.860,1.476,1.691,3.406,1,0.107,0.104,0.104,0.675,0.000,0.000,0.403,0.403,0.000,0.253,-0.150,-0.150,1000.000,2,0.000,0.000,0.000,0.076,0.000,0.000,0.000,0.000,0.000,1.000,0.600,0.318,0.318,1.500,1.500,1.500,1.500,1.500,0.450,0.033,1.961,-1.007,2.134,
482,Powell&Allsop (1985),PoAl-8,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.118,0.116,1.562,1.640,1.302,1.491,2.271,1,0.040,0.040,0.040,0.338,0.000,0.000,0.219,0.219,0.000,0.252,0.033,0.033,1000.000,2,0.000,0.000,0.000,0.076,0.000,0.000,0.000,0.000,0.000,1.000,0.600,0.318,0.318,1.500,1.500,1.500,1.500,1.500,0.450,0.033,1.526,0.286,2.741,
483,Powell&Allsop (1985),PoAl-8,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.151,0.149,1.771,1.860,1.476,1.691,2.994,1,0.073,0.072,0.072,0.477,0.000,0.000,0.298,0.298,0.000,0.253,-0.045,-0.045,1000.000,2,0.000,0.000,0.000,0.076,0.000,0.000,0.000,0.000,0.000,1.000,0.600,0.318,0.318,1.500,1.500,1.500,1.500,1.500,0.450,0.033,1.961,-0.305,2.134,
484,Powell&Allsop (1985),PoAl-8,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.117,0.114,1.562,1.640,1.302,1.491,3.027,1,0.098,0.097,0.097,0.827,0.000,0.000,0.439,0.439,0.000,0.253,-0.186,-0.186,1000.000,2,0.000,0.000,0.000,0.076,0.000,0.000,0.000,0.000,0.000,1.000,0.600,0.318,0.318,1.500,1.500,1.500,1.500,1.500,0.450,0.033,1.500,-1.635,2.789,
485,Powell&Allsop (1985),PoAl-8,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.203,0.201,2.057,2.160,1.714,1.964,4.043,1,0.132,0.128,0.128,0.630,0.000,0.000,0.403,0.403,0.000,0.253,-0.150,-0.150,1000.000,2,0.000,0.000,0.000,0.076,0.000,0.000,0.000,0.000,0.000,1.000,0.600,0.318,0.318,1.500,1.500,1.500,1.500,1.500,0.450,0.033,2.644,-0.746,1.582,
486,Powell&Allsop (1985),PoAl-8,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.150,0.145,1.771,1.860,1.476,1.691,3.528,1,0.112,0.110,0.110,0.731,0.000,0.000,0.439,0.439,0.000,0.253,-0.186,-0.186,1000.000,2,0.000,0.000,0.000,0.076,0.000,0.000,0.000,0.000,0.000,1.000,0.600,0.318,0.318,1.500,1.500,1.500,1.500,1.500,0.450,0.032,1.908,-1.285,2.193,
487,Powell&Allsop (1985),PoAl-8,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.115,0.112,1.562,1.640,1.302,1.491,2.593,1,0.061,0.060,0.060,0.524,0.000,0.000,0.298,0.298,0.000,0.253,-0.045,-0.045,1000.000,2,0.000,0.000,0.000,0.076,0.000,0.000,0.000,0.000,0.000,1.000,0.600,0.318,0.318,1.500,1.500,1.500,1.500,1.500,0.450,0.032,1.474,-0.406,2.839,
488,Powell&Allsop (1985),PoAl-8,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.184,0.181,2.057,2.160,1.714,1.964,4.196,1,0.134,0.130,0.130,0.708,0.000,0.000,0.439,0.439,0.000,0.253,-0.186,-0.186,1000.000,2,0.000,0.000,0.000,0.076,0.000,0.000,0.000,0.000,0.000,1.000,0.600,0.318,0.318,1.500,1.500,1.500,1.500,1.500,0.450,0.030,2.381,-1.030,1.757,
489,Delft M2090 (1985),M2090-12 smooth,0.138,0.138,1.576,1.655,1.444,1.504,3.467,1,0.000,0.000,0.125,1.576,1.655,1.444,1.504,3.467,1,0.000,0.017,0.017,0.136,0.000,0.000,0.625,0.325,0.000,0.713,0.088,0.088,0.000,2,0.000,0.000,0.325,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.100,0.000,0.425,0.000,0.000,0.000,0.000,0.000,1.000,0.035,0.000,0.700,3.400,
490,Delft M2090 (1985),M2090-13 smooth,0.081,0.081,1.235,1.297,1.181,1.179,2.199,1,0.000,0.000,0.070,1.235,1.297,1.181,1.179,2.199,1,0.000,0.003,0.003,0.036,0.000,0.000,0.425,0.325,0.000,0.513,0.088,0.088,0.000,2,0.000,0.000,0.325,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.100,0.000,0.425,0.000,0.000,0.000,0.000,0.000,1.000,0.032,0.000,1.250,6.071,
491,Delft M2090 (1985),M2090-14 smooth,0.079,0.079,1.576,1.655,1.478,1.504,3.023,1,0.000,0.000,0.069,1.576,1.655,1.478,1.504,3.023,1,0.000,0.003,0.003,0.036,0.000,0.000,0.425,0.325,0.000,0.513,0.088,0.088,0.000,2,0.000,0.000,0.325,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.100,0.000,0.425,0.000,0.000,0.000,0.000,0.000,1.000,0.020,0.000,1.268,6.159,
492,Delft M2090 (1985),M2090-15 smooth,0.134,0.134,1.618,1.699,1.447,1.545,2.710,1,0.000,0.000,0.128,1.618,1.699,1.447,1.545,2.710,1,0.000,0.007,0.007,0.051,0.000,0.000,0.300,0.200,0.000,0.513,0.213,0.213,0.000,2,0.000,0.000,0.325,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.100,0.000,0.425,0.000,0.000,0.000,0.000,0.000,1.000,0.034,0.000,1.660,3.320,
493,Delft M2090 (1985),M2090-16 smooth,0.081,0.081,1.235,1.297,1.174,1.179,2.199,1,0.000,0.000,0.070,1.235,1.297,1.174,1.179,2.199,1,0.000,0.004,0.004,0.050,0.000,0.000,0.425,0.325,0.000,0.488,0.063,0.063,0.000,2,0.000,0.000,0.325,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.100,0.000,0.425,0.000,0.000,0.000,0.000,0.000,1.000,0.032,0.000,0.893,6.071,
494,Delft M2090 (1985),M2090-17 smooth,0.254,0.254,2.172,2.281,1.749,2.073,4.510,1,0.000,0.000,0.210,2.172,2.281,1.749,2.073,4.510,1,0.000,0.068,0.068,0.321,0.000,0.000,0.450,0.350,0.000,0.513,0.063,0.063,0.000,2,0.000,0.000,0.325,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.100,0.000,0.425,0.000,0.000,0.000,0.000,0.000,1.000,0.031,0.000,0.298,2.024,
495,Delft M2090 (1985),M2090-18 smooth,0.140,0.140,1.576,1.655,1.462,1.504,3.023,1,0.000,0.000,0.129,1.576,1.655,1.462,1.504,3.023,1,0.000,0.016,0.016,0.125,0.000,0.000,0.425,0.325,0.000,0.513,0.088,0.088,0.000,2,0.000,0.000,0.325,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.100,0.000,0.425,0.000,0.000,0.000,0.000,0.000,1.000,0.036,0.000,0.681,3.307,
496,Delft M2090 (1985),M2090-1a,0.053,0.053,1.022,1.073,1.058,0.976,1.637,1,0.000,0.000,0.045,1.022,1.073,1.058,0.976,1.637,1,0.000,0.004,0.004,0.089,0.000,0.000,0.400,0.350,0.000,0.500,0.100,0.100,0.000,2,0.000,0.000,0.500,0.044,1.000,0.023,0.600,0.008,0.000,0.172,0.400,0.150,0.150,2.000,2.000,2.000,2.000,2.000,0.400,0.030,1.034,2.222,3.333,
497,Delft M2090 (1985),M2090-1b,0.086,0.086,1.320,1.386,1.252,1.260,2.360,1,0.000,0.000,0.074,1.320,1.386,1.252,1.260,2.360,1,0.000,0.005,0.005,0.068,0.000,0.000,0.400,0.350,0.000,0.500,0.100,0.100,0.000,2,0.000,0.000,0.500,0.044,1.000,0.023,0.600,0.008,0.000,0.172,0.400,0.150,0.150,2.000,2.000,2.000,2.000,2.000,0.400,0.030,1.701,1.351,2.027,
498,Delft M2090 (1985),M2090-1c,0.115,0.115,1.491,1.565,1.487,1.423,2.758,1,0.000,0.000,0.105,1.491,1.565,1.487,1.423,2.758,1,0.000,0.009,0.009,0.086,0.000,0.000,0.400,0.350,0.000,0.500,0.100,0.100,0.000,2,0.000,0.000,0.500,0.044,1.000,0.023,0.600,0.008,0.000,0.172,0.400,0.150,0.150,2.000,2.000,2.000,2.000,2.000,0.400,0.033,2.414,0.952,1.429,
499,Delft M2090 (1985),M2090-1d,0.134,0.134,1.555,1.632,1.480,1.484,2.905,1,0.000,0.000,0.126,1.555,1.632,1.480,1.484,2.905,1,0.000,0.014,0.014,0.111,0.000,0.000,0.400,0.350,0.000,0.500,0.100,0.100,0.000,2,0.000,0.000,0.500,0.044,1.000,0.023,0.600,0.008,0.000,0.172,0.400,0.150,0.150,2.000,2.000,2.000,2.000,2.000,0.400,0.037,2.897,0.794,1.190,
500,Delft M2090 (1985),M2090-1e,0.160,0.160,1.682,1.766,1.567,1.606,3.195,1,0.000,0.000,0.154,1.682,1.766,1.567,1.606,3.195,1,0.000,0.026,0.026,0.166,0.000,0.000,0.400,0.350,0.000,0.500,0.100,0.100,0.000,2,0.000,0.000,0.500,0.044,1.000,0.023,0.600,0.008,0.000,0.172,0.400,0.150,0.150,2.000,2.000,2.000,2.000,2.000,0.400,0.038,3.540,0.649,0.974,
501,Delft M2090 (1985),M2090-2a,0.062,0.062,1.427,1.498,1.288,1.362,2.610,1,0.000,0.000,0.053,1.427,1.498,1.288,1.362,2.610,1,0.000,0.005,0.005,0.086,0.000,0.000,0.400,0.350,0.000,0.500,0.100,0.100,0.000,2,0.000,0.000,0.500,0.044,1.000,0.023,0.600,0.008,0.000,0.172,0.400,0.150,0.150,2.000,2.000,2.000,2.000,2.000,0.400,0.018,1.207,1.905,2.857,
502,Delft M2090 (1985),M2090-2b,0.082,0.082,1.618,1.699,1.567,1.545,3.050,1,0.000,0.000,0.071,1.618,1.699,1.567,1.545,3.050,1,0.000,0.008,0.008,0.113,0.000,0.000,0.400,0.350,0.000,0.500,0.100,0.100,0.000,2,0.000,0.000,0.500,0.044,1.000,0.023,0.600,0.008,0.000,0.172,0.400,0.150,0.150,2.000,2.000,2.000,2.000,2.000,0.400,0.019,1.632,1.408,2.113,
503,Delft M2090 (1985),M2090-2c,0.115,0.115,1.938,2.035,1.800,1.850,3.766,1,0.000,0.000,0.105,1.938,2.035,1.800,1.850,3.766,1,0.000,0.015,0.015,0.143,0.000,0.000,0.400,0.350,0.000,0.500,0.100,0.100,0.000,2,0.000,0.000,0.500,0.044,1.000,0.023,0.600,0.008,0.000,0.172,0.400,0.150,0.150,2.000,2.000,2.000,2.000,2.000,0.400,0.020,2.414,0.952,1.429,
504,Delft M2090 (1985),M2090-2d,0.128,0.128,1.959,2.057,1.845,1.870,3.813,1,0.000,0.000,0.119,1.959,2.057,1.845,1.870,3.813,1,0.000,0.020,0.020,0.168,0.000,0.000,0.400,0.350,0.000,0.500,0.100,0.100,0.000,2,0.000,0.000,0.500,0.044,1.000,0.023,0.600,0.008,0.000,0.172,0.400,0.150,0.150,2.000,2.000,2.000,2.000,2.000,0.400,0.022,2.736,0.840,1.261,
505,Delft M2090 (1985),M2090-2e,0.151,0.151,2.151,2.258,1.934,2.053,4.235,1,0.000,0.000,0.143,2.151,2.258,1.934,2.053,4.235,1,0.000,0.028,0.028,0.196,0.000,0.000,0.400,0.350,0.000,0.500,0.100,0.100,0.000,2,0.000,0.000,0.500,0.044,1.000,0.023,0.600,0.008,0.000,0.172,0.400,0.150,0.150,2.000,2.000,2.000,2.000,2.000,0.400,0.022,3.287,0.699,1.049,
506,Delft M2090 (1985),M2090-3a,0.066,0.066,1.043,1.096,1.062,0.996,1.564,1,0.000,0.000,0.059,1.043,1.096,1.062,0.996,1.564,1,0.000,0.002,0.002,0.025,0.000,0.000,0.300,0.350,0.000,0.500,0.200,0.200,0.000,2,0.000,0.000,0.500,0.044,1.000,0.023,0.600,0.008,0.000,0.172,0.400,0.150,0.150,2.000,2.000,2.000,2.000,2.000,0.400,0.038,1.356,3.390,2.542,
507,Delft M2090 (1985),M2090-3b,0.086,0.086,1.299,1.364,1.205,1.240,2.084,1,0.000,0.000,0.080,1.299,1.364,1.205,1.240,2.084,1,0.000,0.003,0.003,0.031,0.000,0.000,0.300,0.350,0.000,0.500,0.200,0.200,0.000,2,0.000,0.000,0.500,0.044,1.000,0.023,0.600,0.008,0.000,0.172,0.400,0.150,0.150,2.000,2.000,2.000,2.000,2.000,0.400,0.033,1.839,2.500,1.875,
508,Delft M2090 (1985),M2090-3c,0.116,0.116,1.491,1.565,1.453,1.423,2.462,1,0.000,0.000,0.110,1.491,1.565,1.453,1.423,2.462,1,0.000,0.004,0.004,0.036,0.000,0.000,0.300,0.350,0.000,0.500,0.200,0.200,0.000,2,0.000,0.000,0.500,0.044,1.000,0.023,0.600,0.008,0.000,0.172,0.400,0.150,0.150,2.000,2.000,2.000,2.000,2.000,0.400,0.035,2.529,1.818,1.364,
509,Delft M2090 (1985),M2090-3d,0.139,0.139,1.597,1.677,1.498,1.525,2.669,1,0.000,0.000,0.133,1.597,1.677,1.498,1.525,2.669,1,0.000,0.005,0.005,0.034,0.000,0.000,0.300,0.350,0.000,0.500,0.200,0.200,0.000,2,0.000,0.000,0.500,0.044,1.000,0.023,0.600,0.008,0.000,0.172,0.400,0.150,0.150,2.000,2.000,2.000,2.000,2.000,0.400,0.037,3.046,1.509,1.132,
510,Delft M2090 (1985),M2090-3e,0.160,0.160,1.618,1.699,1.529,1.545,2.710,1,0.000,0.000,0.154,1.618,1.699,1.529,1.545,2.710,1,0.000,0.005,0.005,0.032,0.000,0.000,0.300,0.350,0.000,0.500,0.200,0.200,0.000,2,0.000,0.000,0.500,0.044,1.000,0.023,0.600,0.008,0.000,0.172,0.400,0.150,0.150,2.000,2.000,2.000,2.000,2.000,0.400,0.041,3.540,1.299,0.974,
511,Delft M2090 (1985),M2090-4a,0.061,0.061,1.043,1.096,1.022,0.996,1.690,1,0.000,0.000,0.052,1.043,1.096,1.022,0.996,1.690,1,0.000,0.005,0.005,0.087,0.000,0.000,0.400,0.350,0.000,0.500,0.100,0.100,0.000,2,0.000,0.000,0.500,0.044,1.000,0.023,0.600,0.008,0.000,0.172,0.400,0.150,0.150,1.500,1.500,1.500,1.500,2.000,0.400,0.033,1.184,1.942,2.913,
512,Delft M2090 (1985),M2090-4b,0.084,0.084,1.320,1.386,1.221,1.260,2.360,1,0.000,0.000,0.073,1.320,1.386,1.221,1.260,2.360,1,0.000,0.007,0.007,0.089,0.000,0.000,0.400,0.350,0.000,0.500,0.100,0.100,0.000,2,0.000,0.000,0.500,0.044,1.000,0.023,0.600,0.008,0.000,0.172,0.400,0.150,0.150,1.500,1.500,1.500,1.500,2.000,0.400,0.029,1.678,1.370,2.055,
513,Delft M2090 (1985),M2090-4c,0.115,0.115,1.512,1.588,1.422,1.443,2.807,1,0.000,0.000,0.104,1.512,1.588,1.422,1.443,2.807,1,0.000,0.011,0.011,0.101,0.000,0.000,0.400,0.350,0.000,0.500,0.100,0.100,0.000,2,0.000,0.000,0.500,0.044,1.000,0.023,0.600,0.008,0.000,0.172,0.400,0.150,0.150,1.500,1.500,1.500,1.500,2.000,0.400,0.032,2.391,0.962,1.442,
514,Delft M2090 (1985),M2090-4d,0.135,0.135,1.597,1.677,1.498,1.525,3.002,1,0.000,0.000,0.123,1.597,1.677,1.498,1.525,3.002,1,0.000,0.015,0.015,0.118,0.000,0.000,0.400,0.350,0.000,0.500,0.100,0.100,0.000,2,0.000,0.000,0.500,0.044,1.000,0.023,0.600,0.008,0.000,0.172,0.400,0.150,0.150,1.500,1.500,1.500,1.500,2.000,0.400,0.034,2.828,0.813,1.220,
515,Delft M2090 (1985),M2090-4e,0.150,0.150,1.682,1.766,1.561,1.606,3.195,1,0.000,0.000,0.140,1.682,1.766,1.561,1.606,3.195,1,0.000,0.018,0.018,0.129,0.000,0.000,0.400,0.350,0.000,0.500,0.100,0.100,0.000,2,0.000,0.000,0.500,0.044,1.000,0.023,0.600,0.008,0.000,0.172,0.400,0.150,0.150,1.500,1.500,1.500,1.500,2.000,0.400,0.035,3.218,0.714,1.071,
516,Delft M2090 (1985),M2090-5a,0.060,0.060,1.043,1.096,1.033,0.996,1.690,1,0.000,0.000,0.052,1.043,1.096,1.033,0.996,1.690,1,0.000,0.008,0.008,0.155,0.000,0.000,0.400,0.350,0.000,0.450,0.050,0.050,0.000,2,0.000,0.000,0.500,0.044,1.000,0.023,0.600,0.008,0.000,0.172,0.400,0.150,0.150,2.000,2.000,2.000,2.000,2.000,0.400,0.033,1.184,0.971,2.913,
517,Delft M2090 (1985),M2090-5b,0.084,0.084,1.278,1.342,1.230,1.220,2.260,1,0.000,0.000,0.073,1.278,1.342,1.230,1.220,2.260,1,0.000,0.014,0.014,0.185,0.000,0.000,0.400,0.350,0.000,0.450,0.050,0.050,0.000,2,0.000,0.000,0.500,0.044,1.000,0.023,0.600,0.008,0.000,0.172,0.400,0.150,0.150,2.000,2.000,2.000,2.000,2.000,0.400,0.031,1.678,0.685,2.055,
518,Delft M2090 (1985),M2090-5c,0.114,0.114,1.469,1.543,1.427,1.403,2.709,1,0.000,0.000,0.104,1.469,1.543,1.427,1.403,2.709,1,0.000,0.024,0.024,0.226,0.000,0.000,0.400,0.350,0.000,0.450,0.050,0.050,0.000,2,0.000,0.000,0.500,0.044,1.000,0.023,0.600,0.008,0.000,0.172,0.400,0.150,0.150,2.000,2.000,2.000,2.000,2.000,0.400,0.034,2.391,0.481,1.442,
519,Delft M2090 (1985),M2090-5d,0.132,0.132,1.618,1.699,1.485,1.545,3.050,1,0.000,0.000,0.123,1.618,1.699,1.485,1.545,3.050,1,0.000,0.032,0.032,0.256,0.000,0.000,0.400,0.350,0.000,0.450,0.050,0.050,0.000,2,0.000,0.000,0.500,0.044,1.000,0.023,0.600,0.008,0.000,0.172,0.400,0.150,0.150,2.000,2.000,2.000,2.000,2.000,0.400,0.033,2.828,0.407,1.220,
520,Delft M2090 (1985),M2090-5e,0.149,0.149,1.682,1.766,1.556,1.606,3.195,1,0.000,0.000,0.140,1.682,1.766,1.556,1.606,3.195,1,0.000,0.038,0.038,0.271,0.000,0.000,0.400,0.350,0.000,0.450,0.050,0.050,0.000,2,0.000,0.000,0.500,0.044,1.000,0.023,0.600,0.008,0.000,0.172,0.400,0.150,0.150,2.000,2.000,2.000,2.000,2.000,0.400,0.035,3.218,0.357,1.071,
521,Delft M2090 (1985),M2090-6a,0.061,0.061,1.022,1.073,1.022,0.976,1.637,1,0.000,0.000,0.052,1.022,1.073,1.022,0.976,1.637,1,0.000,0.007,0.007,0.126,0.000,0.000,0.400,0.350,0.000,0.500,0.100,0.100,0.000,2,0.000,0.000,0.500,0.044,1.000,0.023,0.600,0.008,0.000,0.172,0.400,0.150,0.150,2.000,2.000,2.000,2.000,2.000,0.400,0.035,1.184,1.942,2.913,
522,Delft M2090 (1985),M2090-6b,0.083,0.083,1.320,1.386,1.221,1.260,2.360,1,0.000,0.000,0.073,1.320,1.386,1.221,1.260,2.360,1,0.000,0.008,0.008,0.110,0.000,0.000,0.400,0.350,0.000,0.500,0.100,0.100,0.000,2,0.000,0.000,0.500,0.044,1.000,0.023,0.600,0.008,0.000,0.172,0.400,0.150,0.150,2.000,2.000,2.000,2.000,2.000,0.400,0.029,1.678,1.370,2.055,
523,Delft M2090 (1985),M2090-6c,0.114,0.114,1.491,1.565,1.420,1.423,2.758,1,0.000,0.000,0.104,1.491,1.565,1.420,1.423,2.758,1,0.000,0.013,0.013,0.120,0.000,0.000,0.400,0.350,0.000,0.500,0.100,0.100,0.000,2,0.000,0.000,0.500,0.044,1.000,0.023,0.600,0.008,0.000,0.172,0.400,0.150,0.150,2.000,2.000,2.000,2.000,2.000,0.400,0.033,2.391,0.962,1.442,
524,Delft M2090 (1985),M2090-6d,0.135,0.135,1.597,1.677,1.489,1.525,3.002,1,0.000,0.000,0.126,1.597,1.677,1.489,1.525,3.002,1,0.000,0.017,0.017,0.135,0.000,0.000,0.400,0.350,0.000,0.500,0.100,0.100,0.000,2,0.000,0.000,0.500,0.044,1.000,0.023,0.600,0.008,0.000,0.172,0.400,0.150,0.150,2.000,2.000,2.000,2.000,2.000,0.400,0.035,2.897,0.794,1.190,
525,Delft M2090 (1985),M2090-6e,0.150,0.150,1.682,1.766,1.554,1.606,3.195,1,0.000,0.000,0.142,1.682,1.766,1.554,1.606,3.195,1,0.000,0.021,0.021,0.148,0.000,0.000,0.400,0.350,0.000,0.500,0.100,0.100,0.000,2,0.000,0.000,0.500,0.044,1.000,0.023,0.600,0.008,0.000,0.172,0.400,0.150,0.150,2.000,2.000,2.000,2.000,2.000,0.400,0.035,3.264,0.704,1.056,
526,Delft M2090 (1985),M2090-6f,0.249,0.249,2.130,2.236,1.863,2.033,4.188,1,0.000,0.000,0.200,2.130,2.236,1.863,2.033,4.188,1,0.000,0.053,0.053,0.263,0.000,0.000,0.400,0.350,0.000,0.500,0.100,0.100,0.000,2,0.000,0.000,0.500,0.044,1.000,0.023,0.600,0.008,0.000,0.172,0.400,0.150,0.150,2.000,2.000,2.000,2.000,2.000,0.400,0.031,4.598,0.500,0.750,
527,Ahrens (1987),Ahr-1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.110,1.381,1.450,1.151,1.318,2.088,1,0.000,0.065,0.065,0.586,0.000,0.000,0.250,0.250,0.000,0.219,-0.031,-0.031,15.000,2,0.000,0.000,0.000,0.019,0.000,0.000,0.000,0.000,0.000,1.000,0.600,0.000,0.249,1.500,1.500,1.500,1.500,1.500,0.400,0.041,5.795,-0.280,2.262,
528,Ahrens (1987),Ahr-1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.101,1.390,1.460,1.159,1.327,2.104,1,0.000,0.057,0.057,0.560,0.000,0.000,0.250,0.250,0.000,0.230,-0.020,-0.020,15.000,2,0.000,0.000,0.000,0.019,0.000,0.000,0.000,0.000,0.000,1.000,0.600,0.000,0.247,1.500,1.500,1.500,1.500,1.500,0.400,0.037,5.337,-0.196,2.436,
529,Ahrens (1987),Ahr-1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.080,1.362,1.430,1.135,1.300,2.054,1,0.000,0.045,0.045,0.558,0.000,0.000,0.250,0.250,0.000,0.235,-0.015,-0.015,15.000,2,0.000,0.000,0.000,0.019,0.000,0.000,0.000,0.000,0.000,1.000,0.600,0.000,0.241,1.500,1.500,1.500,1.500,1.500,0.400,0.030,4.211,-0.188,3.013,
530,Ahrens (1987),Ahr-1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.057,1.381,1.450,1.151,1.318,2.088,1,0.000,0.033,0.033,0.571,0.000,0.000,0.250,0.250,0.000,0.244,-0.006,-0.006,15.000,2,0.000,0.000,0.000,0.019,0.000,0.000,0.000,0.000,0.000,1.000,0.600,0.000,0.254,1.500,1.500,1.500,1.500,1.500,0.400,0.021,3.016,-0.105,4.433,
531,Ahrens (1987),Ahr-1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.029,1.371,1.440,1.143,1.309,2.071,1,0.000,0.017,0.017,0.585,0.000,0.000,0.250,0.250,0.000,0.239,-0.011,-0.011,15.000,2,0.000,0.000,0.000,0.019,0.000,0.000,0.000,0.000,0.000,1.000,0.600,0.000,0.242,1.500,1.500,1.500,1.500,1.500,0.400,0.011,1.511,-0.373,8.432,
532,Ahrens (1987),Ahr-1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.134,2.124,2.230,1.770,2.027,3.372,1,0.000,0.082,0.082,0.613,0.000,0.000,0.250,0.250,0.000,0.207,-0.043,-0.043,15.000,2,0.000,0.000,0.000,0.019,0.000,0.000,0.000,0.000,0.000,1.000,0.600,0.000,0.244,1.500,1.500,1.500,1.500,1.500,0.400,0.021,7.068,-0.320,1.817,
533,Ahrens (1987),Ahr-1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.115,2.124,2.230,1.770,2.027,3.372,1,0.000,0.072,0.072,0.627,0.000,0.000,0.250,0.250,0.000,0.215,-0.035,-0.035,15.000,2,0.000,0.000,0.000,0.019,0.000,0.000,0.000,0.000,0.000,1.000,0.600,0.000,0.248,1.500,1.500,1.500,1.500,1.500,0.400,0.018,6.053,-0.308,2.157,
534,Ahrens (1987),Ahr-1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.091,2.143,2.250,1.786,2.045,3.405,1,0.000,0.058,0.058,0.639,0.000,0.000,0.250,0.250,0.000,0.238,-0.012,-0.012,15.000,2,0.000,0.000,0.000,0.019,0.000,0.000,0.000,0.000,0.000,1.000,0.600,0.000,0.255,1.500,1.500,1.500,1.500,1.500,0.400,0.014,4.774,-0.136,2.811,
535,Ahrens (1987),Ahr-1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.061,2.162,2.270,1.802,2.064,3.437,1,0.000,0.035,0.035,0.568,0.000,0.000,0.250,0.250,0.000,0.246,-0.004,-0.004,15.000,2,0.000,0.000,0.000,0.019,0.000,0.000,0.000,0.000,0.000,1.000,0.600,0.000,0.251,1.500,1.500,1.500,1.500,1.500,0.400,0.009,3.205,-0.066,4.122,
536,Ahrens (1987),Ahr-1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.029,2.171,2.280,1.810,2.073,3.453,1,0.000,0.016,0.016,0.543,0.000,0.000,0.250,0.250,0.000,0.245,-0.005,-0.005,15.000,2,0.000,0.000,0.000,0.019,0.000,0.000,0.000,0.000,0.000,1.000,0.600,0.000,0.250,1.500,1.500,1.500,1.500,1.500,0.400,0.004,1.532,-0.158,8.591,
537,Ahrens (1987),Ahr-1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.131,2.124,2.230,1.770,2.027,3.372,1,0.000,0.079,0.079,0.601,0.000,0.000,0.250,0.250,0.000,0.200,-0.050,-0.050,15.000,2,0.000,0.000,0.000,0.019,0.000,0.000,0.000,0.000,0.000,1.000,0.600,0.000,0.250,1.500,1.500,1.500,1.500,1.500,0.400,0.020,6.911,-0.382,1.904,
538,Ahrens (1987),Ahr-1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.158,2.857,3.000,2.381,2.727,4.608,1,0.000,0.094,0.094,0.593,0.000,0.000,0.250,0.250,0.000,0.170,-0.080,-0.080,15.000,2,0.000,0.000,0.000,0.019,0.000,0.000,0.000,0.000,0.000,1.000,0.600,0.000,0.257,1.500,1.500,1.500,1.500,1.500,0.400,0.014,8.305,-0.508,1.629,
